event,variant,n_stints,rate_mae,rate_bias,rate_cov90,rate_cov95,rate_width90,rate_width95,spearman,mae_lap,lap_cov90
japan-2026,regime_v2_temperature,19,0.02826896126282653,-0.02794892845996473,1.0,1.0,0.19729738373182826,0.23894366929682506,0.23156082283721105,0.290882485452489,0.9882352941176471
japan-2026,regime_v3_pooled,19,0.022664786812784787,-0.021369740262102182,1.0,1.0,0.16449983412878233,0.19745309108925693,0.4342559997343476,0.2782999539137085,0.9794117647058823
japan-2026,regime_v3_circuit,19,0.020266124498065658,-0.0174728747644347,1.0,1.0,0.1535061707124133,0.1838126953433447,0.4190610166241855,0.2720039195210143,0.9705882352941176
japan-2026,regime_oracle_temperature,19,0.020023156263458894,-0.01681172221176353,1.0,1.0,0.1537425478851869,0.18461115079879797,0.3099256488343631,0.27103176130859274,0.9705882352941176
japan-2026,sealed_perfect_t,19,0.020023156263458894,-0.01681172221176353,1.0,1.0,0.1537425478851869,0.18461115079879797,0.3099256488343631,0.27103176130859274,0.9705882352941176
japan-2026,sealed_driver,19,0.026888086426717056,-0.02448374276868928,1.0,1.0,0.1602270271532751,0.1919335596657911,0.29473684210526313,0.2720039195210143,0.9705882352941176
japan-2026,sealed_driver_hist,19,0.026888086426717056,-0.02448374276868928,1.0,1.0,0.1602270271532751,0.1919335596657911,0.29473684210526313,0.2720039195210143,0.9705882352941176
japan-2026,sealed_driver_practice_dev,19,0.0202995417721361,-0.01712518518382089,1.0,1.0,0.15316727702898442,0.18340309900511062,0.3175438596491228,0.2720039195210143,0.9705882352941176
japan-2026,sealed_driver_team_pooled,19,0.020322698997361163,-0.017173512930611187,1.0,1.0,0.15321343822865752,0.1834588727013617,0.360684545472663,0.2720039195210143,0.9705882352941176
japan-2026,history_only,19,0.06163271640929436,-0.06163271640929436,0.2631578947368421,0.3157894736842105,0.10069896882574225,0.11998175009024607,0.2287025869865642,0.39083613163481545,0.9029411764705882
japan-2026,mixedlm_x_regime,19,0.026130100598622318,0.0018170408922318622,0.7368421052631579,0.8421052631578947,0.10069896882574227,0.11998175009024607,0.3197269448593548,0.3057104043418968,0.9470588235294117
japan-2026,season_loo,19,0.018882928051233646,-0.009020802341761653,0.9473684210526315,1.0,0.10069896882574227,0.11998175009024607,0.5586784123652909,0.2574029302768882,0.9529411764705882
japan-2026,zero,19,0.03634520664110604,0.03634520664110604,0.7368421052631579,0.7368421052631579,0.10069896882574227,0.11998175009024607,,0.30041556889593607,0.95
japan-2026,oracle_race,19,0.017307472130540676,-0.0024376868555890767,1.0,1.0,0.10069896882574225,0.1199817500902461,0.4938418080516587,0.26765953966026174,0.9588235294117647
barcelona-2026,sealed,31,0.03991985464780816,0.001092480427929034,0.9354838709677419,0.9354838709677419,0.21289875615875445,0.25522646570594953,0.1118177749033395,0.380902720205858,0.943579766536965
barcelona-2026,sealed_v3,31,0.03991985464780816,0.001092480427929034,0.9354838709677419,0.9354838709677419,0.21289875615875445,0.25522646570594953,0.1118177749033395,0.380902720205858,0.943579766536965
barcelona-2026,practice_only,31,0.05071999817472724,-0.031290440975161427,0.9354838709677419,0.967741935483871,0.27941134337378876,0.3342115355775401,0.08974282399144097,0.4263846341233948,0.9552529182879378
barcelona-2026,practice_no_regime,31,0.12722976108246392,-0.12580204532227132,0.8064516129032258,0.8709677419354839,0.34875029228653753,0.4125136383022576,0.22198673518721415,0.7105556810695618,0.896887159533074
barcelona-2026,sealed_geomean,31,0.04014370613346628,-0.0015157803571214732,0.9354838709677419,0.9354838709677419,0.21541613214662403,0.2582604892212134,0.05018178021395292,0.38242459654258204,0.943579766536965
barcelona-2026,regime_v2_temperature,31,0.03978401721344376,0.012651976828829322,1.0,1.0,0.24899480412537592,0.29809066202569534,0.20950727970201646,0.37786596934313965,0.9591439688715954
barcelona-2026,regime_v3_pooled,31,0.04087481703663622,-0.0053083346945167675,0.9354838709677419,0.967741935483871,0.23254015973889272,0.2771010833651997,0.23037934962055956,0.38473577192362884,0.9513618677042801
barcelona-2026,regime_v3_circuit,31,0.0399198548024889,0.001092479163483482,0.9354838709677419,0.9354838709677419,0.2128987561587548,0.25522646570595003,0.2096151174502711,0.38090272405548165,0.943579766536965
barcelona-2026,regime_oracle_temperature,31,0.039873650240745316,0.0021327326602620556,0.9354838709677419,0.967741935483871,0.21194119285335664,0.25405869099697725,0.1603382740600067,0.38037490723273987,0.943579766536965
barcelona-2026,sealed_perfect_t,31,0.039873650240745316,0.0021327326602620556,0.9354838709677419,0.967741935483871,0.21194119285335664,0.25405869099697725,0.1603382740600067,0.38037490723273987,0.943579766536965
barcelona-2026,sealed_driver,31,0.04325310619091029,-0.0073550256461284635,0.9354838709677419,0.9354838709677419,0.22171358102527025,0.26579852922152264,0.18354176563909516,0.380902720205858,0.943579766536965
